Email,FirstName,LastName,MailingCity,MailingCountry,MailingPostalCode,MailingState,MailingStreet,MobilePhone,Reservation_Status
phaidra.rayer@sw-global.com,Phaidra,Rayer,San Bruno,US,94066,CA,87 Northland Place,+1 (408) 505-1578,Not Started
maya.belle@cafepress.com,Maya,Obelle,New York,US,11215,NY,289 Boyd Center,+1 (520) 547-2228,Not Started
pvedenichevd@usgs.gov,Peg,Vedenichev,Evanston,US,60202,IL,1 Bluestem Junction,+1 (616) 964-6356,Not Started
nambrosi@kemmer-moen.com,Nagendra,Ambrosi,San Antonio,US,78208,TX,81961 Shelley Pass,+1 (479) 796-4668,
bnatuka@comnet.com,Brittney,Nakuta,Vancouver,US,98664,WA,3 Hollow Ridge Terrace,+1 (360) 119-5330,
bigfish@cable-net.com,Enrique,Mas,Cupertino,US,94024,CA,943 Dwight Park,+1 (616) 938-8233,
jsmollens@vip.com,Jake,Smollens,Port Townsend,US,98368,WA,8197 North Place,+1 (765) 314-0695,
c.ortiz@songpress.net,Cathy,Ortiz,Denver,US,80205,CO,289 Boyd Center,+1 (520) 547-2228,Not Started
j.bhamik@bizjournals.com,Jhumpa,Bhaumik,Los Angeles,US,90032,CA,289 Boyd Center,+1 (520) 547-2228,Not Started
tmatiewej@cafepress.com,Tallia,Matiewe,Astoria,US,85743,OR,289 Boyd Center,+1 (520) 547-2228,Not Started
sdunn@oak-leaf.net,Sulema,Dunn,Peoria,US,61605,IL,8 Mosinee Place,+1 (309) 155-8304,
claxtonf@hibu.com,Frieda,Claxton,Golden Valley,US,55405,MN,938 Cherokee Street,+1 (952) 367-3093,
